,Utility,Rank
$A_{1}$,0.8961657835868112,3
$A_{2}$,0.630119432408438,12
$A_{3}$,0.7212279146990617,7
$A_{4}$,0.7090664468136453,9
$A_{5}$,0.916768633746614,2
$A_{6}$,0.5289230988812073,16
$A_{7}$,0.7748445337375586,5
$A_{8}$,0.5758925767155226,14
$A_{9}$,0.5946164842431579,13
$A_{10}$,0.8729034580382794,4
$A_{11}$,1.0,1
$A_{12}$,0.551515209704759,15
$A_{13}$,0.638637305110975,11
$A_{14}$,0.7096727931504784,8
$A_{15}$,0.7634246552038592,6
$A_{16}$,0.6478299950369971,10
